"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Valid Start Date","Valid End Date"
68,"[OPTIMA] Aromatase Inhibitors",41000075,"OMOP2198037","letrozole 2.5 MG Delayed Release Oral Tablet [Letrozol Biomo] Box of 60","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",21043442,"OMOP376362","anastrozole 1 MG Oral Tablet by Sovereign","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",42970746,"OMOP4697171","anastrozole Oral Tablet [A-DEX]","Drug","RxNorm Extension","S","2018-08-21","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",43750142,"OMOP695505","anastrozole 1 MG Oral Tablet [Anastrozol Acino] by Acino","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",21203991,"18658911000001108","Anastrozole 1mg tablets","Drug","dm+d","N","1970-01-01","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",45376263,"51079032330","{30 (anastrozole 1 MG Oral Tablet) } Pack","Drug","NDC","N","2011-01-01","2011-01-01"
68,"[OPTIMA] Aromatase Inhibitors",44942764,"00378603493","anastrozole 1 MG Oral Tablet","Drug","NDC","N","2010-08-01","2019-02-01"
68,"[OPTIMA] Aromatase Inhibitors",44121644,"OMOP1116275","letrozole Oral Tablet [Apo-Letrozole]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",2924087,"OMOP5140892","anastrozole 1 MG Oral Tablet by Intas","Drug","RxNorm Extension","S","2021-06-30","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",44087183,"OMOP1081814","anastrozole 1 MG Oral Tablet [Riva Anastrozole]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",45640125,"b464d7aa-4f70-49c3-acd8-8cc31b089afd","ANASTROZOLE 1 mg ORAL TABLET","Drug","SPL","N","2013-10-07","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",1222913,"709340488","anastrozole 1mg/1 ORAL TABLET","Drug","NDC","N","2020-01-08","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",43277999,"OMOP536272","letrozole Oral Tablet [Accozole]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",43277474,"OMOP531279","exemestane 25 MG Oral Tablet by Sandoz","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",44173661,"OMOP3050384","exemestane 25 MG Delayed Release Oral Tablet [Exemestan Aristo] Box of 30","Drug","RxNorm Extension","S","2017-10-06","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",40850123,"OMOP2048085","anastrozole 1 MG Oral Tablet [Anastrozol Ct]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",21073165,"OMOP380069","exemestane 25 MG Oral Tablet Box of 90 by TEVA","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",41037020,"OMOP2234982","anastrozole 1 MG Oral Tablet [ANASTROZOLE BLUEFISH] Box of 30","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",43254857,"OMOP548622","anastrozole 1 MG Oral Tablet Box of 30 by Terry White Chemists","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",45657455,"cc0c084b-a122-736e-c136-c8cffc92f5f4","ANASTROZOLE - anastrozole tablet, film coated","Drug","SPL","C","2020-02-07","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",43203640,"OMOP471850","anastrozole 1 MG Delayed Release Oral Tablet [ANASTROZOLE RANBAXY] Box of 90","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",21171069,"OMOP376356","anastrozole 1 MG Oral Tablet by Alliance","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",41259750,"OMOP2457712","letrozole 2.5 MG Oral Tablet [Letro Cell] Box of 100 by Cellgmbh","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",36261459,"OMOP3112334","anastrozole 1 MG Delayed Release Oral Tablet [ANASTROZOLE EG] Box of 98 by Eurogenerics","Drug","RxNorm Extension","S","2017-10-01","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",43137348,"OMOP469507","exemestane 25 MG Delayed Release Oral Tablet [EXEMESTANE ZENTIVA] Box of 30","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",41166458,"OMOP2364420","letrozole 2.5 MG Delayed Release Oral Tablet [Femara] Box of 100 by Kohlpharma","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
68,"[OPTIMA] Aromatase Inhibitors",21092439,"OMOP376377","anastrozole 1 MG Oral Tablet Box of 28 by APC","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
