"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Valid Start Date","Valid End Date"
0,"[OPTIMA] Bisphosphonates",21202303,"10688611000001108","Alendronic acid 10mg tablets","Drug","dm+d","N","2021-05-27","2099-12-31"
0,"[OPTIMA] Bisphosphonates",45646084,"c872d8c8-6ea5-42f4-9020-dc920b26adf5","zoledronic acid 4mg/5mL INTRAVENOUS INJECTION, SOLUTION, CONCENTRATE","Drug","SPL","C","2013-06-03","2099-12-31"
0,"[OPTIMA] Bisphosphonates",21114061,"OMOP410695","Clodronic Acid 520 MG Oral Tablet Box of 60","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",36037591,"OMOP5047587","100 ML zoledronic acid 0.04 MG/ML Injectable Solution [Zoledron Urop]","Drug","RxNorm Extension","S","2021-06-17","2099-12-31"
0,"[OPTIMA] Bisphosphonates",21323189,"13837211000001107","Bonviva 150mg tablets (DE Pharmaceuticals) 1 tablet","Drug","dm+d","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43207269,"OMOP505631","risedronic acid 69.6 MG Delayed Release Oral Tablet [RISEDRONATE TEVA] Box of 2 by TEVA","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",21095232,"OMOP261490","Ibandronate 150 MG Oral Tablet [Bonviva] Box of 3 by Mawdsley-Brooks","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",41018355,"OMOP2216317","risedronic acid Oral Tablet [Risedron Hexal]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",2718441,"J1740","Injection, ibandronate sodium, 1 mg","Drug","HCPCS","N","2007-01-01","2099-12-31"
0,"[OPTIMA] Bisphosphonates",45763660,"700105003","Zoledronic acid therapy","Procedure","SNOMED","S","2014-07-31","2099-12-31"
0,"[OPTIMA] Bisphosphonates",45832177,"521250382","alendronate sodium 70mg/1 ORAL TABLET","Drug","NDC","N","2013-05-13","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43678946,"OMOP703783","zoledronic acid 0.8 MG/ML Injection [Zoledronsaeure 1a Pharma]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",40716126,"OMOP4741018","5 ML zoledronic acid 0.8 MG/ML Injectable Solution Box of 5 by Peckforton","Drug","RxNorm Extension","S","2018-06-04","2099-12-31"
0,"[OPTIMA] Bisphosphonates",35141703,"OMOP4798827","1 ML Ibandronate 1 MG/ML Prefilled Syringe [Bonviva]","Drug","RxNorm Extension","S","2019-03-11","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43660999,"OMOP703881","zoledronic acid 0.04 MG/ML Injectable Solution [Zoledronsaeure Genfarma]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",40056220,"485473","ibandronic acid Oral Tablet","Drug","RxNorm","N","1970-01-01","2007-09-02"
0,"[OPTIMA] Bisphosphonates",43263645,"OMOP554740","Ibandronate 50 MG Oral Tablet Box of 84","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",2028893,"OMOP4927640","3 ML ibandronate 1 MG/ML Prefilled Syringe [RIBONNE] by Handok","Drug","RxNorm Extension","S","2020-07-31","2099-12-31"
0,"[OPTIMA] Bisphosphonates",21315128,"16261611000001108","Didronel 400mg tablets","Drug","dm+d","N","2005-08-08","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43159060,"OMOP465895","risedronic acid 35 MG Delayed Release Oral Tablet [RISEDRONATE ISOMED] Box of 12","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",41164530,"OMOP2362492","risedronic acid 35 MG Oral Tablet [Actonel] Box of 12 by Beragena","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",2902866,"OMOP5119720","100 ML zoledronic acid 0.04 MG/ML Injection Box of 4 by APO","Drug","RxNorm Extension","S","2021-06-30","2099-12-31"
0,"[OPTIMA] Bisphosphonates",35830338,"OMOP5037822","alendronate 5 MG Oral Tablet by Sawai","Drug","RxNorm Extension","S","2021-01-21","2099-12-31"
0,"[OPTIMA] Bisphosphonates",41354558,"OMOP2552520","5 ML zoledronic acid 0.8 MG/ML Injectable Solution [Zoledronsaeure Sun] Box of 4","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",41226952,"OMOP2424914","risedronic acid 5 MG Oral Tablet [Actonel] Box of 98 by Warner Chilcott","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",41341728,"OMOP2539690","2 ML Ibandronate 1.13 MG/ML Injectable Solution [Ribobandron]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",44159444,"OMOP3036167","risedronic acid 75 MG Oral Tablet [RISEDRONATE RATIOPHARM] Box of 6 by Ratiopharm","Drug","RxNorm Extension","S","2017-10-06","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43147672,"OMOP463828","Alendronate 70 MG Oral Tablet [ACIDE ALENDRONIQUE ARROW] Box of 4","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",42924103,"OMOP4650933","Ibandronate Oral Tablet [IBONDENSE]","Drug","RxNorm Extension","S","2018-08-21","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43861424,"OMOP763763","4 ML Ibandronate 1.13 MG/ML Injection [Ibandronsaeure Hexal] by Hexal","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",21035854,"OMOP252934","zoledronic acid 0.05 MG/ML Prefilled Syringe Box of 1","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",1972980,"OMOP5165541","3 ML ibandronate 1 MG/ML Prefilled Syringe by Docpharm","Drug","RxNorm Extension","S","2022-01-28","2099-12-31"
0,"[OPTIMA] Bisphosphonates",42923989,"OMOP4650819","Ibandronate 1 MG/ML Prefilled Syringe [OSMAC]","Drug","RxNorm Extension","S","2018-08-21","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43028580,"OMOP4843662","Alendronate 70 MG Oral Tablet Box of 12 by Cristers","Drug","RxNorm Extension","S","2019-10-06","2099-12-31"
0,"[OPTIMA] Bisphosphonates",2902862,"OMOP5119716","100 ML zoledronic acid 0.05 MG/ML Injection [Azolast]","Drug","RxNorm Extension","S","2021-06-30","2099-12-31"
0,"[OPTIMA] Bisphosphonates",37736717,"23017021","Zoledronic acid 5mg/100ml solution for infusion vials (Sun Pharmaceuticals UK Ltd)","Drug","Gemscript","N","2016-04-01","2099-12-31"
0,"[OPTIMA] Bisphosphonates",41037555,"OMOP2235517","Alendronate 70 MG Oral Tablet [Alendronsaeure Aurobindo]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",41229317,"OMOP2427279","Ibandronate 150 MG Oral Tablet [Bonviva] Box of 1 by Veron","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",40907170,"OMOP2105132","Ibandronate 150 MG Delayed Release Oral Tablet [Ibandronsaeure Al]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",42835700,"542880100","zoledronic acid 4mg/5mL INTRAVENOUS INJECTION, SOLUTION, CONCENTRATE","Drug","NDC","N","2018-04-02","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43624589,"OMOP703814","zoledronic acid 0.8 MG/ML Injection [Zoledronsaeure Vipharm]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43821855,"OMOP688738","Ibandronate 1.13 MG/ML Injectable Solution [Ibandronsaeure Beta] Box of 4","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43660122,"OMOP688572","Ibandronate Injection [Ibandronsaeure Hexal]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",40855965,"OMOP2053927","Clodronic Acid 400 MG Oral Capsule [Bonefos] Box of 50 by Medac","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",45191924,"58016078828","Alendronic acid 10 MG Oral Tablet [Fosamax]","Drug","NDC","N","2010-04-01","2012-12-01"
0,"[OPTIMA] Bisphosphonates",45810314,"174780324","zoledronic acid 5mg/100mL INTRAVENOUS SOLUTION","Drug","NDC","N","2014-08-21","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43699210,"OMOP761474","3 ML Ibandronate 1.13 MG/ML Injectable Solution [Ibandronsaeure Al] by Aliud","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",21185595,"21517211000001108","Ibandronic acid 2mg/2ml solution for infusion vials","Drug","dm+d","N","2021-05-26","2099-12-31"
0,"[OPTIMA] Bisphosphonates",41153270,"OMOP2351232","risedronic acid 35 MG Delayed Release Oral Tablet [Risedronat Aurobindo] Box of 4","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43822353,"OMOP697212","risedronic acid 35 MG [Risedronsaeure - 1 A Pharma]","Drug","RxNorm Extension","N","2017-07-30","2022-10-29"
0,"[OPTIMA] Bisphosphonates",21048613,"OMOP308322","5 ML Clodronic Acid 60 MG/ML Injection Box of 5","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",44915779,"49856259600","Alendronic acid 70 MG Oral Tablet","Drug","NDC","N","2010-04-01","2012-06-01"
0,"[OPTIMA] Bisphosphonates",41352916,"OMOP2550878","5 ML zoledronic acid 0.8 MG/ML Injectable Solution [Zoledronsaeure Axios] Box of 1","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",36258269,"OMOP3109144","Alendronate 70 MG Oral Tablet [Alendronate EG] Box of 4","Drug","RxNorm Extension","S","2017-10-01","2099-12-31"
0,"[OPTIMA] Bisphosphonates",41357065,"OMOP2555027","5 ML zoledronic acid 0.8 MG/ML Injectable Solution Box of 10","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",36785598,"OMOP4773879","Clodronic Acid 60 MG/ML Intravenous Solution [Bonefos]","Drug","RxNorm Extension","S","2018-09-01","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43829716,"OMOP841543","100 ML zoledronic acid 0.05 MG/ML Injectable Solution [Zolendronsaeure-Ratiopharm] Box of 5","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",41008023,"OMOP2205985","risedronic acid 35 MG Delayed Release Oral Tablet [Risedronat Stada] Box of 12 by Stada","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43609497,"OMOP772453","5 ML zoledronic acid 0.8 MG/ML Injection [Zoledro Denk] Box of 10","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",21163224,"OMOP410714","Clodronic Acid 800 MG Oral Tablet by Actavis","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",36271592,"OMOP3122467","Alendronate 70 MG Oral Tablet [Alendronate EG] Box of 4 by Eurogenerics","Drug","RxNorm Extension","S","2017-10-01","2099-12-31"
0,"[OPTIMA] Bisphosphonates",42924057,"OMOP4650888","Ibandronate Prefilled Syringe [BONBIS]","Drug","RxNorm Extension","S","2018-08-21","2099-12-31"
0,"[OPTIMA] Bisphosphonates",45323727,"42023016701","5 ML zoledronic acid 0.8 MG/ML Injection","Drug","NDC","N","2013-07-01","2020-03-01"
0,"[OPTIMA] Bisphosphonates",36787243,"OMOP4775508","zoledronic acid Intravenous Solution","Drug","RxNorm Extension","S","2018-09-01","2099-12-31"
0,"[OPTIMA] Bisphosphonates",41363513,"OMOP2561475","10 ML Clodronic Acid 30 MG/ML Injectable Solution [Ostac] Box of 5 by Roche","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43699072,"OMOP754097","2 ML Ibandronate 1.13 MG/ML Injection [Ribobandron] Box of 5 by Hikma","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",41226947,"OMOP2424909","risedronic acid 35 MG Delayed Release Oral Tablet [Actonel] Box of 12 by Kohlpharma","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43786611,"OMOP703921","zoledronic acid 0.8 MG/ML Injection [Zoledronsaeure Synthon] Box of 4","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",44191016,"OMOP3067739","3 ML Ibandronate 1.13 MG/ML Injectable Solution [Ibandronsaeure Chemi] Box of 1 by Bendalis","Drug","RxNorm Extension","S","2017-10-06","2099-12-31"
0,"[OPTIMA] Bisphosphonates",41338756,"OMOP2536718","2 ML Ibandronate 1 MG/ML Injectable Solution [Ibandronsaeure Ct] Box of 1 by AbZ-Pharma","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43805127,"OMOP713488","risedronic acid 40.2 MG Oral Tablet [Risedronsaeure Ct]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",42924009,"OMOP4650838","Ibandronate 1 MG/ML Prefilled Syringe [PHARMVIVA]","Drug","RxNorm Extension","S","2018-08-21","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43713365,"OMOP681095","Clodronic Acid 650 MG Oral Tablet [Ostac] by Riemser","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43767740,"OMOP688616","Ibandronate 169 MG Oral Tablet [Ibandronsaeure 1a Pharma]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43276442,"OMOP532968","Alendronate 10 MG Oral Tablet [Alendraccord]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43190541,"OMOP453595","Ibandronate 150 MG Delayed Release Oral Tablet [Bonviva] Box of 1 by Roche","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",37705351,"06934020","Alendronic acid 10mg tablets (Sigma Pharmaceuticals Plc)","Drug","Gemscript","N","2016-04-01","2099-12-31"
0,"[OPTIMA] Bisphosphonates",21217806,"9553111000001105","Ibandronic acid 150mg tablets","Drug","dm+d","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43714688,"OMOP703882","zoledronic acid 0.04 MG/ML Injectable Solution [Zoledronsaeure Genfarma] Box of 4","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",21094431,"OMOP411719","Alendronate 10 MG Oral Tablet Box of 28 by Actavis","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43169912,"OMOP465850","risedronic acid 35 MG Delayed Release Oral Tablet [Actonel] Box of 4 by WARNER CHILCOTT FRANCE","Drug","RxNorm Extension","N","2016-09-10","2022-10-29"
0,"[OPTIMA] Bisphosphonates",41141236,"OMOP2339198","Ibandronate 50 MG [Ibandronsaeure Ct]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",45205106,"49856259201","Alendronic acid 5 MG Oral Tablet","Drug","NDC","N","2010-04-01","2012-06-01"
0,"[OPTIMA] Bisphosphonates",43713791,"OMOP688622","Ibandronate 56.3 MG [Ibandronsaeure Cell Pharm]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",41138405,"OMOP2336367","Alendronate 70 MG Oral Tablet [Fosamax] Box of 4 by Aca Mueller","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",40850596,"OMOP2048558","Alendronate 70 MG Oral Tablet [Alendron Hexal]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",21204601,"22464211000001105","Ibandronic acid 150mg tablets","Drug","dm+d","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43713794,"OMOP688672","Ibandronate 1.13 MG/ML Prefilled Syringe [Ibandronsaeure Sun] Box of 4","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",40056218,"485474","ibandronic acid 150 MG Oral Tablet","Drug","RxNorm","N","1970-01-01","2006-07-30"
0,"[OPTIMA] Bisphosphonates",36036608,"OMOP5046605","risedronic acid 35 MG Oral Tablet [Risedronat Puren] Box of 4","Drug","RxNorm Extension","S","2021-06-17","2099-12-31"
0,"[OPTIMA] Bisphosphonates",44122727,"OMOP1117358","zoledronic acid 0.8 MG/ML Intravenous Solution","Drug","RxNorm Extension","N","2017-08-24","2018-08-01"
0,"[OPTIMA] Bisphosphonates",44953503,"58016078836","Alendronic acid 10 MG Oral Tablet [Fosamax]","Drug","NDC","N","2010-04-01","2012-12-01"
0,"[OPTIMA] Bisphosphonates",21185629,"21714611000001100","Ibandronic acid 3mg/3ml solution for injection pre-filled syringes","Drug","dm+d","N","2021-05-26","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43202949,"OMOP465861","risedronic acid 35 MG Delayed Release Oral Tablet [RISEDRONATE ALTER]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43643438,"OMOP713500","risedronic acid 40.2 MG Oral Tablet [RISEDRONATE RATIOPHARM] by Ratiopharm","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",42952453,"OMOP4679012","Alendronate 70 MG Oral Tablet [TIBONE WEEKLY]","Drug","RxNorm Extension","S","2018-08-21","2099-12-31"
0,"[OPTIMA] Bisphosphonates",45108259,"62756063818","Alendronic acid 70 MG Oral Tablet","Drug","NDC","N","2010-04-01","2012-06-01"
0,"[OPTIMA] Bisphosphonates",45818483,"420230151","zoledronic acid 4mg/5mL INTRAVENOUS INJECTION, SOLUTION, CONCENTRATE","Drug","NDC","N","2013-03-04","2099-12-31"
0,"[OPTIMA] Bisphosphonates",21238634,"5366111000001102","Fosamax 10mg tablets","Drug","dm+d","N","2006-12-15","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43861823,"OMOP772606","5 ML zoledronic acid 0.8 MG/ML Injection [Zoledronsaeue Beta]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",41088434,"OMOP2286396","zoledronic acid 0.8 MG/ML Injectable Solution [Zoledronsaeure Hospira] Box of 1","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",41113033,"OMOP2310995","Ibandronate Injection [Ibandronic Acid Accord]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43861875,"OMOP774015","6 ML Ibandronate 1.13 MG/ML Injection [Ibandronsaeure Cell Pharm] Box of 5","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",21055960,"OMOP261361","Ibandronate Prefilled Syringe [Bondronat]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",40996758,"OMOP2194720","risedronic acid 35 MG Delayed Release Oral Tablet [RISEDRONATE SANDOZ] Box of 4","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",44055988,"OMOP1050619","Clodronic Acid Intravenous Solution","Drug","RxNorm Extension","N","2017-08-24","2018-08-01"
0,"[OPTIMA] Bisphosphonates",43163994,"OMOP513356","5 ML zoledronic acid 0.8 MG/ML Prefilled Syringe [ACIDE ZOLEDRONIQUE MYLAN] Box of 1 by Mylan","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",36786710,"OMOP4774977","Alendronate 70 MG Oral Tablet [Alendronate EG] Box of 12 by PI-Pharma","Drug","RxNorm Extension","S","2018-09-01","2099-12-31"
0,"[OPTIMA] Bisphosphonates",45289730,"41616063888","Alendronic acid 70 MG Oral Tablet","Drug","NDC","N","2010-04-01","2013-08-01"
0,"[OPTIMA] Bisphosphonates",41360767,"OMOP2558729","6 ML Ibandronate 1 MG/ML Injectable Solution [Bondronat] Box of 5 by Eurim-Pharm","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43825622,"OMOP772605","5 ML zoledronic acid 0.8 MG/ML Injection [Zomic] Box of 10 by anwerina","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43858542,"OMOP697213","risedronic acid 35 MG [Risedronat Stada]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",41257763,"OMOP2455725","risedronic acid 5 MG Oral Tablet [Actonel] Box of 28 by Warner Chilcott","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",40168347,"876405","etidronate Injectable Solution [Didronel]","Drug","RxNorm","S","2009-12-06","2099-12-31"
0,"[OPTIMA] Bisphosphonates",44191467,"OMOP3068190","3 ML Ibandronate 1.13 MG/ML Prefilled Syringe [Ibandronsaeure Beta]","Drug","RxNorm Extension","S","2017-10-06","2099-12-31"
0,"[OPTIMA] Bisphosphonates",40876243,"OMOP2074205","Ibandronate 150 MG Oral Tablet [Ibandronsaeure Actavis]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",21094357,"OMOP410640","Clodronic Acid 400 MG Oral Capsule Box of 30 by Waymade","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",21321669,"7541711000001104","Bondronat 2mg/2ml solution for infusion ampoules (Roche Products Ltd) 5 ampoule","Drug","dm+d","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Bisphosphonates",40822449,"OMOP2020411","Ibandronate 1.13 MG/ML Injection [Ibandronsaeure Ratiopharm] Box of 1","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",40955806,"OMOP2153768","zoledronic acid Injectable Solution [Zoledronsaeure Normon]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",41219730,"OMOP2417692","Ibandronate 1.13 MG/ML Injectable Solution [Ibandronsaeure Ibisqus] Box of 1","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",784903,"OMOP4832722","100 ML zoledronic acid 0.04 MG/ML Injectable Solution [ACIDE ZOLEDRONIQUE SANDOZ] Box of 1","Drug","RxNorm Extension","S","2019-04-01","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43587826,"OMOP688638","Ibandronate 56.3 MG Oral Tablet [Ibandronsaeure Genthon] by Genthon BV","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",44906580,"00006093631","Alendronic acid 10 MG Oral Tablet [Fosamax]","Drug","NDC","N","2010-04-01","2014-05-01"
0,"[OPTIMA] Bisphosphonates",41320210,"OMOP2518172","risedronic acid 35 MG Delayed Release Oral Tablet [Actonel] Box of 12 by Axicorp","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",43287267,"OMOP532906","Alendronate 10 MG Oral Tablet [Fosamax] Box of 8","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
0,"[OPTIMA] Bisphosphonates",36780661,"OMOP4768958","5 ML Clodronic Acid 60 MG/ML Intravenous Solution","Drug","RxNorm Extension","S","2018-09-01","2099-12-31"
0,"[OPTIMA] Bisphosphonates",44937541,"60505259600","Alendronic acid 70 MG Oral Tablet","Drug","NDC","N","2010-04-01","2017-02-01"
0,"[OPTIMA] Bisphosphonates",44987474,"58016078883","Alendronic acid 10 MG Oral Tablet [Fosamax]","Drug","NDC","N","2010-04-01","2012-12-01"
0,"[OPTIMA] Bisphosphonates",43663192,"OMOP754076","2 ML Ibandronate 1.13 MG/ML Injection [Ibandronsaeure Ibisqus] by Ibigen","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
