"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Valid Start Date","Valid End Date"
191,"GnRH_LHRH_Antagonists",36278462,"OMOP3129337","3 ML degarelix 40 MG/ML Injectable Solution","Drug","RxNorm Extension","S","2017-10-01","2099-12-31"
191,"GnRH_LHRH_Antagonists",36278487,"OMOP3129362","3 ML degarelix 40 MG/ML Injectable Solution Box of 2","Drug","RxNorm Extension","S","2017-10-01","2099-12-31"
191,"GnRH_LHRH_Antagonists",587319,"OMOP3138837","3 ML degarelix 40 MG/ML Injection","Drug","RxNorm Extension","S","2018-08-02","2099-12-31"
191,"GnRH_LHRH_Antagonists",36278468,"OMOP3129343","3 ML degarelix 40 MG/ML Injection [Firmagon]","Drug","RxNorm Extension","S","2017-10-01","2099-12-31"
191,"GnRH_LHRH_Antagonists",36278572,"OMOP3129447","3 ML degarelix 40 MG/ML Injection [Firmagon] Box of 2","Drug","RxNorm Extension","S","2017-10-01","2099-12-31"
191,"GnRH_LHRH_Antagonists",36278600,"OMOP3129475","3 ML degarelix 40 MG/ML Injection [Firmagon] Box of 2 by Ferring","Drug","RxNorm Extension","S","2017-10-01","2099-12-31"
191,"GnRH_LHRH_Antagonists",588234,"OMOP3137821","3 ML degarelix 40 MG/ML Injection Box of 2","Drug","RxNorm Extension","S","2018-08-02","2099-12-31"
191,"GnRH_LHRH_Antagonists",43163850,"OMOP511647","3 ML degarelix 40 MG/ML Prefilled Syringe","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
191,"GnRH_LHRH_Antagonists",43152751,"OMOP511649","3 ML degarelix 40 MG/ML Prefilled Syringe [Firmagon]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
191,"GnRH_LHRH_Antagonists",43141652,"OMOP511650","3 ML degarelix 40 MG/ML Prefilled Syringe [Firmagon] Box of 2","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
191,"GnRH_LHRH_Antagonists",43196690,"OMOP511651","3 ML degarelix 40 MG/ML Prefilled Syringe [Firmagon] Box of 2 by Ferring","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
191,"GnRH_LHRH_Antagonists",43152750,"OMOP511648","3 ML degarelix 40 MG/ML Prefilled Syringe Box of 2","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
191,"GnRH_LHRH_Antagonists",36278771,"OMOP3129646","4 ML degarelix 19 MG/ML Injectable Solution","Drug","RxNorm Extension","S","2017-10-01","2099-12-31"
191,"GnRH_LHRH_Antagonists",784326,"OMOP4832149","4 ML degarelix 19 MG/ML Injectable Solution [Firmagon] Box of 1","Drug","RxNorm Extension","S","2019-04-01","2099-12-31"
191,"GnRH_LHRH_Antagonists",784327,"OMOP4832150","4 ML degarelix 19 MG/ML Injectable Solution [Firmagon] Box of 1 by Ferring","Drug","RxNorm Extension","S","2019-04-01","2099-12-31"
