"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Valid Start Date","Valid End Date"
191,"GnRH_LHRH_Antagonists",21261912,"16592211000001109","Degarelix 120mg powder and solvent for solution for injection vials 2 vial","Drug","dm+d","N","1970-01-01","2099-12-31"
191,"GnRH_LHRH_Antagonists",36894119,"OMOP990623","degarelix 19 MG/ML","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
191,"GnRH_LHRH_Antagonists",587319,"OMOP3138837","3 ML degarelix 40 MG/ML Injection","Drug","RxNorm Extension","S","2018-08-02","2099-12-31"
191,"GnRH_LHRH_Antagonists",40480474,"441758000","Degarelix-containing product","Drug","SNOMED","N","2009-07-31","2099-12-31"
191,"GnRH_LHRH_Antagonists",44120601,"OMOP1115232","degarelix Injectable Solution","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
191,"GnRH_LHRH_Antagonists",35829725,"OMOP5038496","degarelix 240 MG","Drug","RxNorm Extension","S","2021-01-21","2099-12-31"
191,"GnRH_LHRH_Antagonists",37854478,"82886998","Degarelix 80mg powder and solvent for solution for injection vials","Drug","Gemscript","N","2016-04-01","2099-12-31"
191,"GnRH_LHRH_Antagonists",45187336,"47294830101","degarelix 20 MG/ML Injectable Solution","Drug","NDC","N","2009-10-01","2012-06-01"
191,"GnRH_LHRH_Antagonists",45190959,"55566830102","degarelix 80 MG Injection [Firmagon]","Drug","NDC","N","2012-12-01","2019-02-01"
191,"GnRH_LHRH_Antagonists",43143469,"OMOP512271","4.2 ML degarelix 19 MG/ML Prefilled Syringe","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
191,"GnRH_LHRH_Antagonists",43209438,"OMOP512275","4.2 ML degarelix 19 MG/ML Prefilled Syringe [Firmagon] Box of 1","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
191,"GnRH_LHRH_Antagonists",35139025,"OMOP4796182","degarelix 120 MG Injection [Gonax]","Drug","RxNorm Extension","S","2019-03-11","2099-12-31"
