"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Valid Start Date","Valid End Date","Exclude","Descendants","Mapped"
190,"GnRH_agonists",1366310,"50610","goserelin","Drug","RxNorm","S","1970-01-01","2099-12-31","FALSE","TRUE","FALSE"
190,"GnRH_agonists",1366773,"50975","histrelin","Drug","RxNorm","S","1970-01-01","2099-12-31","FALSE","TRUE","FALSE"
190,"GnRH_agonists",21603825,"L02AE02","leuprorelin; implant, parenteral","Drug","ATC","C","1970-01-01","2099-12-31","FALSE","TRUE","FALSE"
190,"GnRH_agonists",1343039,"38782","triptorelin","Drug","RxNorm","S","1970-01-01","2099-12-31","FALSE","TRUE","FALSE"
190,"GnRH_agonists",35746979,"OMOP2748440","Triptorelin 11.25 MG Injectable Solution [Decapeptyl SR] by Ipsen","Drug","RxNorm Extension","S","2017-08-24","2099-12-31","FALSE","TRUE","FALSE"
190,"GnRH_agonists",44083846,"OMOP1078477","Triptorelin 11.25 MG Injectable Suspension","Drug","RxNorm Extension","S","2017-08-24","2099-12-31","FALSE","TRUE","FALSE"
190,"GnRH_agonists",40726621,"OMOP4730496","Triptorelin 11.25 MG Injectable Suspension [Salvacyl] by Ipsen","Drug","RxNorm Extension","S","2018-06-04","2099-12-31","FALSE","TRUE","FALSE"
190,"GnRH_agonists",36407426,"OMOP3099468","Triptorelin 22.5 MG Injectable Solution","Drug","RxNorm Extension","S","2017-08-02","2099-12-31","FALSE","TRUE","FALSE"
190,"GnRH_agonists",35759461,"OMOP2760922","Triptorelin 22.5 MG Injectable Suspension [Decapeptyl SR] by Ipsen","Drug","RxNorm Extension","S","2017-08-24","2099-12-31","FALSE","TRUE","FALSE"
190,"GnRH_agonists",36885850,"OMOP1003222","Triptorelin 3 MG Injectable Suspension","Drug","RxNorm Extension","S","2017-08-24","2099-12-31","FALSE","TRUE","FALSE"
190,"GnRH_agonists",35763668,"OMOP2765129","Triptorelin 3 MG Injectable Suspension [Decapeptyl SR] by Ipsen","Drug","RxNorm Extension","S","2017-08-24","2099-12-31","FALSE","TRUE","FALSE"
190,"GnRH_agonists",40864986,"OMOP2062948","Triptorelin 3.75 MG Injectable Solution","Drug","RxNorm Extension","S","2017-08-24","2099-12-31","FALSE","TRUE","FALSE"
190,"GnRH_agonists",40726613,"OMOP4730504","Triptorelin 3.75 MG Injectable Suspension [GONAPEPTYL] by Ferring","Drug","RxNorm Extension","S","2018-06-04","2099-12-31","FALSE","TRUE","FALSE"
190,"GnRH_agonists",1351541,"42375","leuprolide","Drug","RxNorm","S","1970-01-01","2099-12-31","FALSE","TRUE","FALSE"
190,"GnRH_agonists",44176247,"OMOP3052970","Leuprolide 11.3 MG Injectable Solution","Drug","RxNorm Extension","S","2017-10-06","2099-12-31","FALSE","TRUE","FALSE"
