"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Valid Start Date","Valid End Date"
190,"GnRH_agonists",44976169,"00300368301","4-Month 1.5 ML Leuprolide Acetate 20 MG/ML Prefilled Syringe [Lupron]","Drug","NDC","N","2017-11-01","2020-03-01"
190,"GnRH_agonists",43734417,"OMOP737666","1 ML Triptorelin 4.12 MG/ML Injectable Solution [Trelstar] Box of 3","Drug","RxNorm Extension","N","2017-07-30","2022-10-29"
190,"GnRH_agonists",43515436,"OMOP2802551","Triptorelin 0.1 MG/ML [Trelstar]","Drug","RxNorm Extension","S","2017-08-29","2099-12-31"
190,"GnRH_agonists",36407917,"OMOP3099959","Leuprolide 11.3 MG Injectable Solution [Prostap] Box of 1 by Takeda","Drug","RxNorm Extension","S","2017-08-02","2099-12-31"
190,"GnRH_agonists",45637340,"319F0AF7-6CC7-4A91-A28A-9CEEA37D0CA8","LUPRON - leuprolide acetate kit","Drug","SPL","C","2008-02-29","2099-12-31"
190,"GnRH_agonists",36407183,"OMOP3099225","Leuprolide 11.3 MG Injectable Solution [Prostap] Box of 1 by Necessity Supplies","Drug","RxNorm Extension","N","2017-08-02","2022-10-29"
190,"GnRH_agonists",41328727,"OMOP2526689","1 ML Leuprolide 3.75 MG/ML Drug Implant [Enantone] Box of 3 by Orifarm Leverkus","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
190,"GnRH_agonists",41328064,"OMOP2526026","1 ML Leuprolide 11.25 MG/ML Drug Implant [Trenantone] Box of 1 by Takeda","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
190,"GnRH_agonists",36082362,"37710311000001104","Zoladex 3.6mg implant SafeSystem pre-filled syringes","Drug","dm+d","N","1970-01-01","2099-12-31"
190,"GnRH_agonists",21138661,"OMOP363152","Goserelin 10.8 MG Drug Implant [Zoladex LA] Box of 1 by Mawdsley-Brooks","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
190,"GnRH_agonists",43173036,"OMOP492491","Leuprolide 6.96 MG [Eligard]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
190,"GnRH_agonists",35774257,"OMOP2775718","Leuprolide 11.3 MG Injectable Suspension [Prostap] by Takeda","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
190,"GnRH_agonists",40141913,"727599","leuprolide Prefilled Syringe","Drug","RxNorm","S","2007-09-02","2099-12-31"
190,"GnRH_agonists",41339288,"OMOP2537250","2 ML Leuprolide 5.65 MG/ML Prefilled Syringe [Enantone] Box of 1 by Eurim-Pharm","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
190,"GnRH_agonists",41335858,"OMOP2533820","1 ML Leuprolide 3.75 MG/ML Injectable Solution [Enantone Gyn Grk]","Drug","RxNorm Extension","N","2017-07-30","2022-10-29"
190,"GnRH_agonists",45347129,"62788521501","Triptorelin 5.62 MG/ML Injectable Suspension [Trelstar LA]","Drug","NDC","N","2010-04-01","2012-06-01"
190,"GnRH_agonists",42721091,"OMOP2739764","Leuprolide 0.0848 MG/MG Injectable Suspension [ENANTONE]","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
190,"GnRH_agonists",43734415,"OMOP737647","1 ML Triptorelin 0.1 MG/ML Prefilled Syringe [Triptofem] Box of 3 by Karmed","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
190,"GnRH_agonists",40240349,"1115473","1.5 ML leuprolide acetate 7.5 MG/ML Prefilled Syringe [Lupron]","Drug","RxNorm","S","2011-07-31","2099-12-31"
190,"GnRH_agonists",21168271,"OMOP362987","Goserelin 3.6 MG Drug Implant [Novgos] Box of 1","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
190,"GnRH_agonists",42715651,"OMOP2727751","Leuprolide 0.0846 MG/MG Prefilled Syringe [ENANTONE] Box of 1","Drug","RxNorm Extension","S","2017-08-24","2099-12-31"
190,"GnRH_agonists",35417859,"OMOP1151444","2.02 ML Triptorelin 11.3 MG/ML Injectable Suspension [Decapeptyl SR]","Drug","RxNorm Extension","N","2017-08-24","2022-10-29"
190,"GnRH_agonists",2061426,"OMOP4962618","leuprolide Prefilled Syringe [LUCRIN PDS]","Drug","RxNorm Extension","S","2020-07-31","2099-12-31"
