"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Valid Start Date","Valid End Date"
0,"[OPTIMA] Osteoporosis",45582262,"M80.849D","Other osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with routine healing","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45766159,"703264005","Secondary osteoporosis","Condition","SNOMED","S","2014-07-31","2099-12-31"
0,"[OPTIMA] Osteoporosis",45562846,"M80.051A","Age-related osteoporosis with current pathological fracture, right femur, initial encounter for fracture","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45601567,"M80.871D","Other osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with routine healing","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45757318,"11311521000119104","Secondary osteoporotic fracture of cervical vertebra","Condition","SNOMED","S","2015-01-31","2099-12-31"
0,"[OPTIMA] Osteoporosis",45538877,"M80.832P","Other osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with malunion","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45463874,"N330.00","Osteoporosis","Condition","Read","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",760691,"11314881000119100","Pathological fracture of right hip due to osteoporosis","Condition","SNOMED","S","2015-09-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",9854,"M80.079","Age-related osteoporosis with current pathological fracture, unspecified ankle and foot","Condition","ICD10CM","N","2014-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",9868,"M80.849","Other osteoporosis with current pathological fracture, unspecified hand","Condition","ICD10CM","N","2014-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",9850,"M80.062","Age-related osteoporosis with current pathological fracture, left lower leg","Condition","ICD10CM","N","2014-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45587070,"M80.00XA","Age-related osteoporosis with current pathological fracture, unspecified site, initial encounter for fracture","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",44828075,"733.02","Idiopathic osteoporosis","Condition","ICD9CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45553287,"M80.849K","Other osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with nonunion","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45577369,"M80.812D","Other osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with routine healing","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45606328,"M80.031P","Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with malunion","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45440422,"N331900","Osteoporosis + pathological fracture thoracic vertebrae","Condition","Read","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45757323,"11311801000119105","Secondary osteoporotic fracture of vertebra","Condition","SNOMED","S","2015-01-31","2099-12-31"
0,"[OPTIMA] Osteoporosis",9870,"M80.852","Other osteoporosis with current pathological fracture, left femur","Condition","ICD10CM","N","2014-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",760645,"11310121000119102","Pathological fracture of right femur due to secondary osteoporosis","Condition","SNOMED","S","2015-09-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45591944,"M80.069A","Age-related osteoporosis with current pathological fracture, unspecified lower leg, initial encounter for fracture","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",9866,"M80.841","Other osteoporosis with current pathological fracture, right hand","Condition","ICD10CM","N","2014-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45587074,"M80.052A","Age-related osteoporosis with current pathological fracture, left femur, initial encounter for fracture","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",760667,"11313321000119109","Pathological fracture of left scapula due to osteoporosis","Condition","SNOMED","S","2015-09-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45606339,"M80.811G","Other osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with delayed healing","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45767005,"704287008","Secondary osteoporotic fracture of proximal femur","Condition","SNOMED","S","2015-01-31","2099-12-31"
0,"[OPTIMA] Osteoporosis",4347298,"240155001","Adult idiopathic generalized osteoporosis","Condition","SNOMED","S","2002-01-31","2099-12-31"
0,"[OPTIMA] Osteoporosis",45577375,"M80.871P","Other osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with malunion","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",760578,"11305121000119106","Pathological fracture of left fibula due to osteoporosis","Condition","SNOMED","S","2015-09-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45772067,"11311641000119106","Osteoporotic fracture of sacral vertebra","Condition","SNOMED","S","2015-01-31","2099-12-31"
0,"[OPTIMA] Osteoporosis",4344144,"240158004","Regional migrating osteoporosis","Condition","SNOMED","S","2002-01-31","2099-12-31"
0,"[OPTIMA] Osteoporosis",1571076,"M80.07","Age-related osteoporosis with current pathological fracture, ankle and foot","Condition","ICD10CM","N","2012-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45582264,"M80.852P","Other osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with malunion","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",9842,"M80.039","Age-related osteoporosis with current pathological fracture, unspecified forearm","Condition","ICD10CM","N","2014-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45587075,"M80.059D","Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with routine healing","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45767010,"704292005","Secondary osteoporotic fracture of clavicle","Condition","SNOMED","S","2015-01-31","2099-12-31"
0,"[OPTIMA] Osteoporosis",45587081,"M80.08XK","Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with nonunion","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45591954,"M80.852A","Other osteoporosis with current pathological fracture, left femur, initial encounter for fracture","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45567668,"M80.072K","Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with nonunion","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",9836,"M80.019","Age-related osteoporosis with current pathological fracture, unspecified shoulder","Condition","ICD10CM","N","2014-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45572566,"M80.829P","Other osteoporosis with current pathological fracture, unspecified humerus, subsequent encounter for fracture with malunion","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45553284,"M80.812P","Other osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with malunion","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45591940,"M80.039D","Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with routine healing","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",4345586,"240164006","Post-irradiation osteoporosis","Condition","SNOMED","S","2002-01-31","2099-12-31"
0,"[OPTIMA] Osteoporosis",45596700,"M80.88XD","Other osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with routine healing","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",1571078,"M80.81","Other osteoporosis with pathological fracture, shoulder","Condition","ICD10CM","N","2012-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",45577370,"M80.812G","Other osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with delayed healing","Condition","ICD10CM","N","1970-01-01","2099-12-31"
0,"[OPTIMA] Osteoporosis",9876,"M80.872","Other osteoporosis with current pathological fracture, left ankle and foot","Condition","ICD10CM","N","2014-01-01","2099-12-31"
